Item Number,Category,Category Cost Code,Costing Item,Quantity,UOM,Cost (ex.),Cost Type,Cost Code,Markup (%),Allowance Type (PC/PS),GST Free (Yes/No),Note,SKU
1.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Insurances,0,qty,0,,,0,,No,Based on Contract Value by %,
1.1.1,SITE PRELIMINARIES,SITE PRELIMINARIES,QBCC Insurance Based on Contract Value,1,qty,0,Supplier,,,,,,
1.1.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Public Liability & Contract works Insurance,1,qty,0,Supplier,,,,,,
1.1.3,SITE PRELIMINARIES,SITE PRELIMINARIES,Portable Long Service and WHS Levies,1,qty,0,Supplier,,,,,,
1.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Site Personnel - supervision only,0,qty,0,,,0,,No,Per week Calculation,
1.2.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Foreman (additional to Carpentry),0,qty,1000,General Labour,,,,,,
1.2.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Labourer (additional to Carpentry),0,qty,160,General Labour,,,,,,
1.3,SITE PRELIMINARIES,SITE PRELIMINARIES,Site Accommodation,0,qty,0,,,0,,No,"Toilet, site shed Ect",
1.3.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Single chemical pan toilet Pick up and Delivery,0,qty,80,Supplier,,,,,,
1.3.2,SITE PRELIMINARIES,SITE PRELIMINARIES,"Single chemical pan toilet including, pump out and cleaning, per week",0,qty,44,Supplier,,,,,,
1.3.3,SITE PRELIMINARIES,SITE PRELIMINARIES,Shipping Container,0,qty,0,Supplier,,,,,,
1.4,SITE PRELIMINARIES,SITE PRELIMINARIES,Site Electrical Services,0,qty,0,,,0,,No,Property pole and power account consumption if required,
1.4.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Electricity connection fee & temporary pole (min 24 week hire),0,qty,600,Sub Contractor,,,,,,
1.4.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Electrical consumption,0,qty,15,Supplier,,,,,,
1.5,SITE PRELIMINARIES,SITE PRELIMINARIES,Site Hydraulic Services,0,qty,0,,,0,,No,If required temp sewer and water connection,
1.5.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Temporary sewer costs,0,qty,0,Sub Contractor,,,,,,
1.5.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Temporary water costs,0,qty,0,Sub Contractor,,,,,,
1.6,SITE PRELIMINARIES,SITE PRELIMINARIES,Public Protection,0,qty,460,,,0,,No,"Signage, Fencing, silt barrier, Crossover concrete",
1.6.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Builders Site sign,1,qty,60,Supplier,,,,,,
1.6.2,SITE PRELIMINARIES,SITE PRELIMINARIES,OHS Sign Hazard Co,1,qty,380,Supplier,,,,,,
1.6.3,SITE PRELIMINARIES,SITE PRELIMINARIES,"Site fence erect, hire and dismantle",1,qty,0,General Labour,,,,,,
1.6.4,SITE PRELIMINARIES,SITE PRELIMINARIES,Site fence hire per LM per week,1,lm,20,Reebuild Hire/Equipment ,,,,,,
1.6.5,SITE PRELIMINARIES,SITE PRELIMINARIES,Silt fence,0,lm,30,Supplier,,,,,,
1.6.6,SITE PRELIMINARIES,SITE PRELIMINARIES,Spalls for temporary crossover,0,qty,400,Sub Contractor,,,,,,
1.7,SITE PRELIMINARIES,SITE PRELIMINARIES,Cranage and hoisting (additional to steelwork),0,qty,0,,,0,,No,Cranage,
1.7.1,SITE PRELIMINARIES,SITE PRELIMINARIES,"Mobile cranage - Frame, Flooring, Roofing?",0,lm,0,Sub Contractor,,,,,,
1.8,SITE PRELIMINARIES,SITE PRELIMINARIES,Surveying and Setting Out,0,qty,0,,,0,,No,,
1.8.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Surveying (pursuant to full review of the BA conditions),1,qty,0,Sub Contractor,,,,,,
1.9,SITE PRELIMINARIES,SITE PRELIMINARIES,Professional fees,0,qty,0,,,0,,No,,
1.9.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Structural engineer - per inspection only,0,qty,300,Sub Contractor,,,,,,
1.9.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Certifier Per inspection only,0,qty,150,Sub Contractor,,,,,,
1.9.3,SITE PRELIMINARIES,SITE PRELIMINARIES,Certifier Quote/RFI costs,0,qty,0,Sub Contractor,,,,,,
1.10,SITE PRELIMINARIES,SITE PRELIMINARIES,Site Cleaning and waste,0,qty,0,,,0,,No,,
1.10.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Builder's clean,0,m2,8,Sub Contractor,,,,,,
1.10.2,SITE PRELIMINARIES,SITE PRELIMINARIES,Site skips,0,qty,0,Labour,,,,,,
1.11,SITE PRELIMINARIES,SITE PRELIMINARIES,Handover Gift,1,qty,200,,,0,,No,,
1.11.1,SITE PRELIMINARIES,SITE PRELIMINARIES,Handover Gift,1,qty,200,Supplier,,,,,,
2.1,GROUNDWORKS,GROUNDWORKS,Site Clearance,0,qty,0,,,0,,No,Levelling of site if required,
2.1.1,GROUNDWORKS,GROUNDWORKS,"Plant, bobcat/ Excavator etc.",0,qty,0,Sub Contractor,,,,,,
2.1.2,GROUNDWORKS,GROUNDWORKS,Supervision of Machinery,0,qty,0,General Labour,,,,,,
2.2,GROUNDWORKS,GROUNDWORKS,Bulk Earthworks,0,qty,0,,,0,,No,,
2.2.1,GROUNDWORKS,GROUNDWORKS,"""Excavator/Machinary Hire for Bulk Excavation/Import Fill (0.2 Hours/m3) """,0,qty,0,Sub Contractor,,,,,,
2.2.2,GROUNDWORKS,GROUNDWORKS,Truck Hire for Removal of Bulk/Import Fill Excavation (0.1 Hours/m3),0,qty,0,Sub Contractor,,,,,,
2.2.3,GROUNDWORKS,GROUNDWORKS,Supervision of Machinery,0,qty,0,Labour,,,,,,
2.3,GROUNDWORKS,GROUNDWORKS,TRENCHING (PIERS),0,qty,0,,,0,,No,,
2.3.1,GROUNDWORKS,GROUNDWORKS,Excavator Hire for Trenching (Per Hour - 0.2/m3),0,lm,0,,,,,,,
2.3.2,GROUNDWORKS,GROUNDWORKS,Truck Hire for Spoil Removal (0.1/m3),0,qty,0,Sub Contractor,,,,,,
2.3.3,GROUNDWORKS,GROUNDWORKS,Supervision of Machinery,0,qty,0,General Labour,,,,,,
2.4,GROUNDWORKS,GROUNDWORKS,TRENCHING (FOOTINGS),0,qty,0,,,0,,No,,
2.4.1,GROUNDWORKS,GROUNDWORKS,Excavator Hire for Trenching (Per Hour - 0.2/m3),0,lm,0,Sub Contractor,,,,,,
2.4.2,GROUNDWORKS,GROUNDWORKS,Truck Hire for Spoil Removal (0.1/m3),0,qty,0,Sub Contractor,,,,,,
2.4.3,GROUNDWORKS,GROUNDWORKS,Supervision of Machinery,0,qty,0,General Labour,,,,,,
2.5,GROUNDWORKS,GROUNDWORKS,Back filling and compaction ,0,qty,0,,,0,,No,,
2.5.1,GROUNDWORKS,GROUNDWORKS,Machine Hire for Backfill,0,Hr,0,Sub Contractor,,,,,,
2.5.2,GROUNDWORKS,GROUNDWORKS,Supervision of Machine,0,qty,0,General Labour,,,,,,
2.6,GROUNDWORKS,GROUNDWORKS,RETAINING WALLS - DRAINAGE,0,qty,0,,,0,,No,,
2.6.1,GROUNDWORKS,GROUNDWORKS,Drainage Pipe - 90mm,0,lm,0,,,,,,,
2.6.2,GROUNDWORKS,GROUNDWORKS,'20mm Aggregate Gravel Backfill,0,qty,0,Labour,,,,,,
2.6.3,GROUNDWORKS,GROUNDWORKS,Delivery,0,qty,0,Labour,,,,,,
3.1,DEMOLITION,DEMOLITION,Internal Demo,1,qty,0,Carpentry Labour,,0,,No,,
3.2,DEMOLITION,DEMOLITION,External Demo,1,qty,0,Carpentry Labour,,0,,No,,
3.3,DEMOLITION,DEMOLITION,Asbestos Removal,1,qty,0,Sub Contractor,,0,,No,,
4.1,CONCRETE,CONCRETE,REINFORCING PIERS,0,qty,0,Supplier,,0,,No,,
4.1.1,CONCRETE,CONCRETE,Top Mesh,0,lm,0,Supplier,,,,,,
4.1.2,CONCRETE,CONCRETE,Trench Mesh - Internal Beam,0,lm,0,Supplier,,,,,,
4.1.3,CONCRETE,CONCRETE,Trench Mesh - Strip Footing,0,lm,0,Supplier,,,,,,
4.1.4,CONCRETE,CONCRETE,Rod Strip Footing,0,lm,0,Supplier,,,,,,
4.1.5,CONCRETE,CONCRETE,Horizontal bar,0,lm,0,Supplier,,,,,,
4.1.6,CONCRETE,CONCRETE,L10- Internal Beam,0,lm,0,Supplier,,,,,,
4.1.7,CONCRETE,CONCRETE,L10 - Strip Footing,0,lm,0,Supplier,,,,,,
4.1.8,CONCRETE,CONCRETE,Bar chairs - Slab Area - (bag of 100),0,lm,0,Supplier,,,,,,
4.1.9,CONCRETE,CONCRETE,Trench chairs,0,lm,0,Supplier,,,,,,
4.1.10,CONCRETE,CONCRETE,Tie Wire Bundles,0,lm,0,Supplier,,,,,,
4.1.11,CONCRETE,CONCRETE,Forticon (Plastic Membrane) - 6 x 33m roll,0,lm,0,Supplier,,,,,,
4.1.12,CONCRETE,CONCRETE,Duct Tape - 30m Roll,0,lm,0,Supplier,,,,,,
4.2,CONCRETE,CONCRETE,REINFORCING FOOTINGS,0,qty,0,Supplier,,0,,No,,
4.2.1,CONCRETE,CONCRETE,Top Mesh,0,lm,0,Supplier,,,,,,
4.2.2,CONCRETE,CONCRETE,Trench Mesh - Internal Beam,0,lm,0,Supplier,,,,,,
4.2.3,CONCRETE,CONCRETE,Trench Mesh - Strip Footing,0,lm,0,Supplier,,,,,,
4.2.4,CONCRETE,CONCRETE,Rod Strip Footing,0,lm,0,Supplier,,,,,,
4.2.5,CONCRETE,CONCRETE,Horizontal bar,0,lm,0,Supplier,,,,,,
4.2.6,CONCRETE,CONCRETE,L10- Internal Beam,0,lm,0,Supplier,,,,,,
4.2.7,CONCRETE,CONCRETE,L10 - Strip Footing,0,lm,0,Supplier,,,,,,
4.2.8,CONCRETE,CONCRETE,Bar chairs - Slab Area - (bag of 100),0,lm,0,Supplier,,,,,,
4.2.9,CONCRETE,CONCRETE,Trench chairs,0,lm,0,Supplier,,,,,,
4.2.10,CONCRETE,CONCRETE,Tie Wire Bundles,0,lm,0,Supplier,,,,,,
4.2.11,CONCRETE,CONCRETE,Forticon (Plastic Membrane) - 6 x 33m roll,0,lm,0,Supplier,,,,,,
4.2.12,CONCRETE,CONCRETE,Duct Tape - 30m Roll,0,lm,0,Supplier,,,,,,
4.3,CONCRETE,CONCRETE,REINFORCING SLAB,0,qty,0,Supplier,,0,,No,,
4.3.1,CONCRETE,CONCRETE,Top Mesh,0,lm,0,Supplier,,,,,,
4.3.2,CONCRETE,CONCRETE,Trench Mesh - Internal Beam,0,lm,0,Supplier,,,,,,
4.3.3,CONCRETE,CONCRETE,Trench Mesh - Strip Footing,0,lm,0,Supplier,,,,,,
4.3.4,CONCRETE,CONCRETE,Rod Strip Footing,0,lm,0,Supplier,,,,,,
4.3.5,CONCRETE,CONCRETE,Horizontal bar,0,lm,0,Supplier,,,,,,
